group	fill	clickSelects
1251	#FFFFFF	4
1302	#FFFFFF	4
1351	#FFFFFF	4
1352	#FFFFFF	4
1402	#FFFFFF	4
1403	#FFFFFF	4
1452	#FFFFFF	4
1453	#FFFFFF	4
1464	#FFFFFF	4
1503	#FFFFFF	4
1504	#FFFFFF	4
1515	#FFFFFF	4
1553	#FFFFFF	4
1554	#FFFFFF	4
1565	#FFFFFF	4
1576	#FFFFFF	4
1604	#FFFFFF	4
1605	#FFFFFF	4
1616	#FFFFFF	4
1627	#FFFFFF	4
1654	#FFFFFF	4
1655	#FFFFFF	4
1666	#FFFFFF	4
1677	#FFFFFF	4
1688	#FFFFFF	4
1705	#FFFFFF	4
1706	#FFFFFF	4
1717	#FFFFFF	4
1728	#FFFFFF	4
1739	#FFFFFF	4
1754	#FFFFFF	4
1755	#FFFFFF	4
1766	#FFFFFF	4
1777	#FFFFFF	4
1788	#FFFFFF	4
1799	#FFFFFF	4
1805	#FFFFFF	4
1806	#FFFFFF	4
1817	#FFFFFF	4
1828	#FFFFFF	4
1839	#FFFFFF	4
1849	#FFFFFF	4
1854	#FFFFFF	4
1855	#FFFFFF	4
1866	#FFFFFF	4
1877	#FFFFFF	4
1888	#FFFFFF	4
1899	#FFFFFF	4
1900	#FFFFFF	4
1905	#FFFFFF	4
1906	#FFFFFF	4
1917	#FFFFFF	4
1928	#FFFFFF	4
1939	#FFFFFF	4
1949	#FFFFFF	4
1950	#FFFFFF	4
1954	#FFFFFF	4
1955	#FFFFFF	4
1966	#FFFFFF	4
1977	#FFFFFF	4
1988	#FFFFFF	4
1999	#FFFFFF	4
2000	#FFFFFF	4
2001	#FFFFFF	4
2005	#FFFFFF	4
2006	#FFFFFF	4
2017	#FFFFFF	4
2028	#FFFFFF	4
2039	#FFFFFF	4
2049	#FFFFFF	4
2050	#FFFFFF	4
2051	#FFFFFF	4
2054	#FFFFFF	4
2055	#FFFFFF	4
2066	#FFFFFF	4
2077	#FFFFFF	4
2088	#FFFFFF	4
2099	#FFFFFF	4
2100	#FFFFFF	4
2101	#FFFFFF	4
2102	#FFFFFF	4
2105	#FFFFFF	4
2106	#FFFFFF	4
2117	#FFFFFF	4
2128	#FFFFFF	4
2139	#FFFFFF	4
2149	#FFFFFF	4
2150	#FFFFFF	4
2151	#FFFFFF	4
2152	#FFFFFF	4
2155	#FFFFFF	4
2156	#FFFFFF	4
2167	#FFFFFF	4
2178	#FFFFFF	4
2189	#FFFFFF	4
2200	#FFFFFF	4
2201	#FFFFFF	4
2202	#FFFFFF	4
2203	#FFFFFF	4
2204	#FFFFFF	4
2206	#FFFFFF	4
2207	#FFFFFF	4
2218	#FFFFFF	4
2229	#FFFFFF	4
2240	#FFFFFF	4
2250	#FFFFFF	4
2251	#FFFFFF	4
2252	#FFFFFF	4
2253	#FFFFFF	4
2254	#FFFFFF	4
2355	#FFFFFF	4
2356	#FFFFFF	4
2357	#FFFFFF	4
2367	#FFFFFF	4
2378	#FFFFFF	4
2389	#FFFFFF	4
2400	#FFFFFF	4
2401	#FFFFFF	4
2402	#FFFFFF	4
2403	#FFFFFF	4
2404	#FFFFFF	4
2406	#FFFFFF	4
2407	#FFFFFF	4
2408	#FFFFFF	4
2418	#FFFFFF	4
2429	#FFFFFF	4
2440	#FFFFFF	4
2450	#FFFFFF	4
2451	#FFFFFF	4
2452	#FFFFFF	4
2453	#FFFFFF	4
2454	#FFFFFF	4
2455	#FFFFFF	4
2456	#FFFFFF	4
2457	#FFFFFF	4
2458	#FFFFFF	4
2467	#FFFFFF	4
2478	#FFFFFF	4
2489	#FFFFFF	4
2500	#FFFFFF	4
2501	#FFFFFF	4
2502	#FFFFFF	4
2503	#FFFFFF	4
2504	#FFFFFF	4
2506	#FFFFFF	4
2507	#FFFFFF	4
2508	#FFFFFF	4
2509	#FFFFFF	4
2518	#FFFFFF	4
2529	#FFFFFF	4
2540	#FFFFFF	4
2550	#FFFFFF	4
2551	#FFFFFF	4
2552	#FFFFFF	4
2553	#FFFFFF	4
2554	#FFFFFF	4
2555	#FFFFFF	4
2556	#FFFFFF	4
2557	#FFFFFF	4
2558	#FFFFFF	4
2559	#FFFFFF	4
2567	#FFFFFF	4
2578	#FFFFFF	4
2589	#FFFFFF	4
2600	#FFFFFF	4
2601	#FFFFFF	4
2602	#FFFFFF	4
2603	#FFFFFF	4
2604	#FFFFFF	4
2606	#FFFFFF	4
2607	#FFFFFF	4
2608	#FFFFFF	4
2609	#FFFFFF	4
2610	#FFFFFF	4
2618	#FFFFFF	4
2629	#FFFFFF	4
2640	#FFFFFF	4
2650	#FFFFFF	4
2651	#FFFFFF	4
2652	#FFFFFF	4
2653	#FFFFFF	4
