group	label	showSelected1
1	Cluster 4: 2335/10172 pixels shown, logFC -4.4 to 4.4, log10(p) 0.0 to 5.0	4
1	Cluster 9: 127/127 pixels shown, logFC 1.0 to 1.7, log10(p) 7.0 to 32.9	9
1	Cluster 11: 301/330 pixels shown, logFC -2.9 to 4.7, log10(p) 0.0 to 23.4	11
1	Cluster 12: 13/210 pixels shown, logFC -4.2 to 3.5, log10(p) 0.0 to 3.9	12
1	Cluster 15: 22/22 pixels shown, logFC 1.3 to 1.5, log10(p) 63.0 to 121.3	15
1	Cluster 23: 37/37 pixels shown, logFC 1.1 to 1.8, log10(p) 10.5 to 46.3	23
1	Cluster 29: 4/20 pixels shown, logFC -0.0 to 3.5, log10(p) 0.0 to 1.0	29
1	Cluster 34: 8/34 pixels shown, logFC 0.1 to 4.0, log10(p) 0.0 to 1.4	34
1	Cluster 36: 4/4 pixels shown, logFC -3.5 to -1.6, log10(p) 0.6 to 0.9	36
1	Cluster 37: 7/7 pixels shown, logFC 1.3 to 1.5, log10(p) 80.3 to 121.1	37
1	Cluster 40: 44/70 pixels shown, logFC -3.8 to 0.5, log10(p) 0.0 to 1.1	40
1	Cluster 41: 34/34 pixels shown, logFC 1.1 to 1.7, log10(p) 16.0 to 50.6	41
1	Cluster 42: 11/11 pixels shown, logFC -4.6 to -1.5, log10(p) 0.4 to 2.1	42
1	Cluster 45: 6/6 pixels shown, logFC -4.6 to -2.1, log10(p) 0.4 to 2.0	45
1	Cluster 53: 4/9 pixels shown, logFC 0.5 to 2.6, log10(p) 0.1 to 1.0	53
1	Cluster 54: 20/20 pixels shown, logFC 1.3 to 1.5, log10(p) 48.3 to 76.5	54
1	Cluster 59: 5/5 pixels shown, logFC 1.3 to 1.5, log10(p) 53.8 to 90.6	59
1	Cluster 60: 38/345 pixels shown, logFC -4.4 to 2.6, log10(p) 0.0 to 2.8	60
1	Cluster 61: 38/38 pixels shown, logFC 1.3 to 1.5, log10(p) 66.0 to 124.7	61
1	Cluster 67: 2/2 pixels shown, logFC -4.4 to -2.1, log10(p) 0.4 to 1.7	67
1	Cluster 70: 6/6 pixels shown, logFC -3.8 to -2.1, log10(p) 0.4 to 1.1	70
1	Cluster 71: 9/9 pixels shown, logFC -2.9 to -1.1, log10(p) 0.4 to 1.3	71
1	Cluster 72: 4/4 pixels shown, logFC -3.5 to -2.1, log10(p) 0.4 to 0.9	72
1	Cluster 73: 5/5 pixels shown, logFC 2.6 to 2.6, log10(p) 0.6 to 0.6	73
1	Cluster 74: 6/6 pixels shown, logFC -3.5 to -0.9, log10(p) 0.2 to 1.6	74
1	Cluster 76: 6/6 pixels shown, logFC -2.9 to -1.3, log10(p) 0.4 to 0.7	76
1	Cluster 77: 13/13 pixels shown, logFC 1.0 to 3.5, log10(p) 0.4 to 1.4	77
1	Cluster 78: 6/6 pixels shown, logFC -2.9 to -2.1, log10(p) 0.4 to 0.6	78
1	Cluster 83: 1/4 pixels shown, logFC 2.6 to 3.5, log10(p) 0.6 to 1.0	83
1	Cluster 88: 2/2 pixels shown, logFC -3.8 to -3.8, log10(p) 1.1 to 1.1	88
1	Cluster 92: 56/56 pixels shown, logFC 1.2 to 1.7, log10(p) 22.1 to 53.9	92
1	Cluster 97: 6/6 pixels shown, logFC -3.8 to -2.1, log10(p) 0.4 to 1.1	97
1	Cluster 98: 3/3 pixels shown, logFC -3.8 to -2.1, log10(p) 0.4 to 1.1	98
1	Cluster 114: 17/17 pixels shown, logFC 1.3 to 1.5, log10(p) 48.1 to 70.7	114
1	Cluster 115: 3/3 pixels shown, logFC -3.5 to -2.1, log10(p) 0.4 to 0.9	115
1	Cluster 119: 5/5 pixels shown, logFC -2.9 to -0.9, log10(p) 0.2 to 0.9	119
1	Cluster 123: 4/4 pixels shown, logFC 1.4 to 1.4, log10(p) 56.9 to 84.6	123
1	Cluster 124: 2/2 pixels shown, logFC -3.5 to -2.9, log10(p) 0.6 to 0.9	124
1	Cluster 125: 3/7 pixels shown, logFC -2.9 to -2.1, log10(p) 0.4 to 0.6	125
1	Cluster 126: 3/3 pixels shown, logFC -2.9 to -2.1, log10(p) 0.4 to 0.6	126
1	Cluster 127: 5/5 pixels shown, logFC -2.1 to -2.1, log10(p) 0.4 to 0.4	127
1	Cluster 128: 9/9 pixels shown, logFC 1.4 to 4.0, log10(p) 0.4 to 1.9	128
1	Cluster 130: 4/4 pixels shown, logFC -2.9 to -2.1, log10(p) 0.4 to 0.6	130
1	Cluster 131: 4/4 pixels shown, logFC -2.9 to -2.1, log10(p) 0.4 to 0.6	131
1	Cluster 132: 1/1 pixels shown, logFC -3.5 to -3.5, log10(p) 0.9 to 0.9	132
1	Cluster 133: 2/2 pixels shown, logFC -4.2 to -2.1, log10(p) 0.4 to 1.4	133
