fill	x	y	xmin	xmax	ymin	ymax
#C6C6C6	2.25	0	2.125	2.375	-0.25	0.25
#A6A6A6	2	1	1.875	2.125	0.75	1.25
#FFFFFF	3.25	1	3.125	3.375	0.75	1.25
#FFFFFF	4	3.25	3.875	4.125	3	3.5
#A6A6A6	1.75	1	1.625	1.875	0.75	1.25
#C6C6C6	2.5	1	2.375	2.625	0.75	1.25
#FFFFFF	2.25	1.5	2.125	2.375	1.25	1.75
#919191	2	0	1.875	2.125	-0.25	0.25
#FFFFFF	2.5	1.5	2.375	2.625	1.25	1.75
#C6C6C6	2.25	1	2.125	2.375	0.75	1.25
#494949	1.25	0	1.125	1.375	-0.25	0.25
#FFFFFF	2.75	1.5	2.625	2.875	1.25	1.75
#000000	0.75	0	0.625	0.875	-0.25	0.25
#434343	1	0	0.875	1.125	-0.25	0.25
#686868	1.5	0	1.375	1.625	-0.25	0.25
#A6A6A6	1.75	0	1.625	1.875	-0.25	0.25
#FFFFFF	1.25	1	1.125	1.375	0.75	1.25
#FFFFFF	3	1	2.875	3.125	0.75	1.25
#FFFFFF	1.25	1.5	1.125	1.375	1.25	1.75
#FFFFFF	1.5	1	1.375	1.625	0.75	1.25
#292929	0.5	0	0.375	0.625	-0.25	0.25
#FFFFFF	1.75	1.5	1.625	1.875	1.25	1.75
#C6C6C6	1	1	0.875	1.125	0.75	1.25
#919191	0.75	1	0.625	0.875	0.75	1.25
#FFFFFF	2.5	2	2.375	2.625	1.75	2.25
#A6A6A6	0.5	1	0.375	0.625	0.75	1.25
#494949	0.25	0	0.125	0.375	-0.25	0.25
#686868	0	0	-0.125	0.125	-0.25	0.25
